year,cc,ex.rate
2003,NPR,0.0128556221577328
2004,NPR,0.013551107149085
2005,NPR,0.0138778817641873
2006,NPR,0.0138270171811287
2007,NPR,0.014185599026971
2008,NPR,0.0153810185661828
2009,NPR,0.0130078422347714
2010,NPR,0.0134156179412714
2011,NPR,0.0139075178539432
2012,NPR,0.0123426108122249
2013,NPR,0.0113686964551377
2014,NPR,0.0101776907813109
2015,NPR,0.0100514102754535
2016,NPR,0.00940272527202877
2017,NPR,0.00941520562858489
2018,NPR,0.00958115713479651
2019,NPR,0.00885893239835913
2020,NPR,0.00868086954300457
2021,NPR,0.00829926271835066
2022,NPR,0.00796668985967862
2023,NPR,0.00769358506489954
2024,NPR,0.00746761564837139
2025,NPR,0.007256179817978
2026,NPR,0.00704880646844773
1980,NZD,0.974223683072399
1981,NZD,0.869944341372913
1982,NZD,0.751870687700431
1983,NZD,0.66882072662299
1984,NZD,0.578467908902692
1985,NZD,0.498218514174431
1986,NZD,0.523753082643522
1987,NZD,0.592160320641283
1988,NZD,0.656015471654543
1989,NZD,0.598463563934471
1990,NZD,0.596945629067387
1991,NZD,0.577377550342261
1992,NZD,0.537208790924496
1993,NZD,0.54074378070419
1994,NZD,0.593701953830788
1995,NZD,0.65642923414305
1996,NZD,0.687622535603746
1997,NZD,0.663032181076295
1998,NZD,0.536643897092864
1999,NZD,0.529538237331438
2000,NZD,0.457368007635329
2001,NZD,0.420649626251109
2002,NZD,0.464222380186314
2003,NZD,0.582265703858995
2004,NZD,0.664007949998692
2005,NZD,0.704356588375796
2006,NZD,0.649501985547816
2007,NZD,0.736125591576281
2008,NZD,0.714576822366754
2009,NZD,0.634268568392319
2010,NZD,0.721293653354514
2011,NZD,0.791170672530139
2012,NZD,0.810577257044944
2013,NZD,0.820530805853419
2014,NZD,0.830840504626574
2015,NZD,0.700272219683271
2016,NZD,0.696962996000884
2017,NZD,0.710850263985661
2018,NZD,0.692950877551896
2019,NZD,0.659282581453634
2020,NZD,0.650022662502561
2021,NZD,0.708307829598824
2022,NZD,0.70594193379915
2023,NZD,0.708733941178094
2024,NZD,0.707388076371558
2025,NZD,0.706252905732291
2026,NZD,0.704510078048458
1980,OMR,2.8958904109589
1981,OMR,2.8953488372093
1982,OMR,2.89492494639028
1983,OMR,2.89498806682578
1984,OMR,2.89542079207921
1985,OMR,2.89473684210526
1986,OMR,2.61819917276487
1987,OMR,2.6003616636528
1988,OMR,2.60031007751938
1989,OMR,2.60044395116537
1990,OMR,2.60093478744714
1991,OMR,2.60055033249255
1992,OMR,2.60066833751044
1993,OMR,2.6007493755204
1994,OMR,2.60096637809543
1995,OMR,2.60090446579989
1996,OMR,2.60078311201907
1997,OMR,2.60049261083744
1998,OMR,2.6007060572278
1999,OMR,2.60056704469646
2000,OMR,2.60058658845487
2001,OMR,2.60088247091857
2002,OMR,2.60077469335055
2003,OMR,2.60086559269055
2004,OMR,2.60071413568578
2005,OMR,2.60078654505899
2006,OMR,2.60088056467957
2007,OMR,2.60072920528983
2008,OMR,2.60077717994705
2009,OMR,2.6008062348831
2010,OMR,2.60077501709597
2011,OMR,2.60073414139869
2012,OMR,2.60076716792831
2013,OMR,2.60073284257089
2014,OMR,2.60078911913774
2015,OMR,2.60071698113208
2016,OMR,2.60082615085197
2017,OMR,2.60077362313502
2018,OMR,2.60076925584276
2019,OMR,2.60083818869467
2020,OMR,2.60077980710035
2021,OMR,2.60077431843846
2022,OMR,2.60077672259474
2023,OMR,2.6007848306024
2024,OMR,2.60077224594863
2025,OMR,2.60078838409619
2026,OMR,2.60076791111837
1980,PKR,0.101010496759554
1981,PKR,0.101011522804112
1982,PKR,0.0947539958501899
1983,PKR,0.0787010015150206
1984,PKR,0.0741631519842562
1985,PKR,0.0659330473443024
1986,PKR,0.0619609271009294
1987,PKR,0.0582092614970702
1988,PKR,0.0568202229563659
1989,PKR,0.0520418252089763
1990,PKR,0.0466305258840523
1991,PKR,0.0445973232448338
1992,PKR,0.0402508912909946
1993,PKR,0.0385210888560598
1994,PKR,0.0331521234313203
1995,PKR,0.0324142810982817
1996,PKR,0.0297899605838628
1997,PKR,0.0256451516589614
1998,PKR,0.0231505022060584
1999,PKR,0.0199782345577044
2000,PKR,0.0193158119367949
2001,PKR,0.0171122664650797
2002,PKR,0.0163071813027325
2003,PKR,0.0171160576149073
2004,PKR,0.0173641130915958
2005,PKR,0.0168154339183624
2006,PKR,0.0167069531265214
2007,PKR,0.0164936648993105
2008,PKR,0.0159550356888709
2009,PKR,0.0126612630125965
2010,PKR,0.011887939732293
2011,PKR,0.0116712007371239
2012,PKR,0.0111300725812486
2013,PKR,0.0103032030326557
2014,PKR,0.00969215469463991
2015,PKR,0.00984476198319281
2016,PKR,0.00956206279967106
2017,PKR,0.00954201295019469
2018,PKR,0.00904409194512412
2019,PKR,0.00727144692451839
2020,PKR,0.00629810187762009
1987,PEN,41681
1988,PEN,8244.5
1989,PEN,373.385321100917
1990,PEN,5.32243517474634
1991,PEN,1.29448507007922
1992,PEN,0.804205501250284
1993,PEN,0.504267101455662
1994,PEN,0.456320929005015
1995,PEN,0.444575196199739
1996,PEN,0.408317406926076
1997,PEN,0.37583305509182
1998,PEN,0.341612073444252
1999,PEN,0.295677030545424
2000,PEN,0.286667955556061
2001,PEN,0.285145970107557
2002,PEN,0.28435454459213
2003,PEN,0.287492878612263
2004,PEN,0.292992219484962
2005,PEN,0.303419973758538
2006,PEN,0.305465328275949
2007,PEN,0.319641030613745
2008,PEN,0.341879333732128
2009,PEN,0.332083669203339
2010,PEN,0.353977817367912
2011,PEN,0.363081649543318
2012,PEN,0.379153535063592
2013,PEN,0.370045779161326
2014,PEN,0.35226690908331
